灌注产线,,,,
设备类型（中文）,设备类型（英文）,simPy名,,
材料源（瓶子）,material_source_bottle,material_source,,
材料源（包装箱）,material_source_box,material_source,,
传送带,conveyer-belt,line,,
灌装机,fluid-fill-equipment,portioner,,
打包机,multi-processing-equipment,assembly,,
储存罐,fluid-storage-tank3,liquid_source,,
结束,filling,material_end,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
